commitHash,creationDate,component,effort,severity,maintainability_Rating,security_Rating,reliability_Rating,development_cost,message
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletClientService.java,3910,0.4,1,0.1,0.05,6116190,390 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/master/thrift/MasterClientService.java,3320,0.4,1,0.1,0.05,6116190,331 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/client/impl/thrift/ClientService.java,3030,0.4,1,0.1,0.05,6116190,302 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/MutationLogger.java,2800,0.4,1,0.1,0.05,6116190,279 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/gc/thrift/GCMonitorService.java,690,0.4,1,0.1,0.05,6116190,68 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,441,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 631 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,440,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 630 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,431,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 621 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,430,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 620 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,429,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 619 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,427,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 617 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,426,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 616 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,425,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 615 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/Tablet.java,418,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 608 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:trace/src/main/java/org/apache/accumulo/cloudtrace/thrift/TestService.java,360,0.4,1,0.1,0.05,6116190,35 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/tabletserver/TabletServer.java,326,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 516 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/ActiveScan.java,290,0.4,1,0.1,0.05,6116190,28 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:server/src/main/java/org/apache/accumulo/server/master/Master.java,236,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 426 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/NotServingTabletException.java,220,0.4,1,0.1,0.05,6116190,21 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TooManyFilesException.java,220,0.4,1,0.1,0.05,6116190,21 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletClientService.java,214,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 404 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/security/thrift/AuthInfo.java,190,0.4,1,0.1,0.05,6116190,18 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/LogFile.java,170,0.4,1,0.1,0.05,6116190,16 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/InitialMultiScan.java,160,0.4,1,0.1,0.05,6116190,15 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/InitialScan.java,160,0.4,1,0.1,0.05,6116190,15 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletClientService.java,146,0.4,1,0.1,0.05,6116190,The Cyclomatic Complexity of this class is 336 which is greater than 200 authorized.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/MultiScanResult.java,140,0.4,1,0.1,0.05,6116190,13 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/ScanResult.java,140,0.4,1,0.1,0.05,6116190,13 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/TKeyValue.java,130,0.4,1,0.1,0.05,6116190,12 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletMutations.java,130,0.4,1,0.1,0.05,6116190,12 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:trace/src/main/java/org/apache/accumulo/cloudtrace/thrift/SpanReceiver.java,130,0.4,1,0.1,0.05,6116190,12 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/client/impl/thrift/ThriftTableOperationException.java,120,0.4,1,0.1,0.05,6116190,11 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/IterInfo.java,120,0.4,1,0.1,0.05,6116190,11 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/security/thrift/ThriftSecurityException.java,120,0.4,1,0.1,0.05,6116190,11 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletStats.java,120,0.4,1,0.1,0.05,6116190,11 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/master/thrift/LoggerStatus.java,110,0.4,1,0.1,0.05,6116190,10 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/data/thrift/TKeyExtent.java,100,0.4,1,0.1,0.05,6116190,9 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/master/thrift/MasterMonitorInfo.java,100,0.4,1,0.1,0.05,6116190,9 duplicated blocks of code must be removed.
e0880e263e4bf8662ba3848405200473a25dfc9f,2011-10-04T00:46:07Z,org:apache:accumulo:core/src/main/java/org/apache/accumulo/core/master/thrift/TableInfo.java,100,0.4,1,0.1,0.05,6116190,9 duplicated blocks of code must be removed.
